Format Version,1.0,
Take Name,251212_perturb_165_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,19 Dec 2025 14:01:22 +0900,
Total Frames In Take,729,
Total Exported Frames,7290,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.465410,
PosX_PosY_Y,0.141372,
PosX_PosY_Z,0.425106,
NegX_PosY_X,1.464760,
NegX_PosY_Y,0.141466,
NegX_PosY_Z,0.680313,
NegX_NegY_X,1.210020,
NegX_NegY_Y,0.141850,
NegX_NegY_Z,0.679222,
PosX_NegY_X,1.210670,
PosX_NegY_Y,0.141755,
PosX_NegY_Z,0.424014,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.109874,0.038308,-0.167580,0.063334,0.011102,0.036350,0.066247,-0.377934,0.000000
0,0.000000,1,-0.340168,-0.161970,0.586033,0.070974,-0.010287,-0.001411,0.017554,0.121110,0.000000
0,0.000000,2,-0.550911,-0.142310,-0.175632,-0.067726,-0.019818,-0.031851,-0.112837,0.385613,0.000000
0,0.000000,3,-0.340168,-0.161970,0.586033,0.070974,-0.010287,-0.001411,0.017554,0.121110,0.000000
0,0.000000,4,-0.121676,-0.169081,0.949306,0.001335,-0.049858,-0.038050,0.052520,0.001406,0.000000
0,0.000000,5,0.111084,0.040898,0.195301,-0.006756,0.060212,0.038870,-0.308304,-0.034592,0.000000
0,0.000000,6,0.330753,0.231816,-0.127151,0.051774,-0.076298,0.032270,-0.600054,-0.407180,0.000000
0,0.000000,7,0.116944,0.248146,0.223564,0.122164,-0.037898,-0.002690,0.169518,0.546439,0.000000
0,0.000000,8,0.341062,0.040681,-0.582180,-0.001736,0.071442,0.015639,0.122715,0.002981,0.000000
0,0.000000,9,-0.099816,0.059998,0.170963,-0.005346,0.049973,0.007580,-0.292300,-0.031272,0.000000
1,0.010000,10,-0.334279,-0.150161,1.662918,0.001634,0.037652,-0.070491,-0.022642,0.000983,0.000000
1,0.010000,11,-0.345998,-0.163650,0.969505,-0.142066,0.038452,-0.006581,-0.039662,-0.146534,0.000000
1,0.010000,12,-0.117226,-0.166461,-0.170872,-0.066957,0.000572,-0.032330,0.003349,0.391853,0.000000
1,0.010000,13,0.112784,0.041078,-0.542648,-0.005646,-0.037538,0.040020,-0.069176,0.010405,0.000000
1,0.010000,14,0.117104,0.248706,-0.513763,-0.017947,-0.037188,-0.001840,-0.072384,0.034932,0.000000
1,0.010000,15,0.116744,0.045878,0.182491,-0.004606,-0.037777,0.045360,0.207009,-0.025241,0.000000
1,0.010000,16,0.113994,0.043668,-0.179768,-0.075736,0.011572,0.042540,0.064374,0.421300,0.000000
1,0.010000,17,-0.117226,-0.166461,-0.170872,-0.066957,0.000572,-0.032330,0.003349,0.391853,0.000000
1,0.010000,18,-0.340008,-0.161410,-0.151295,-0.069137,-0.009578,-0.000561,-0.063305,0.456967,0.000000
1,0.010000,19,-0.358948,-0.391351,-0.125858,0.079035,0.088022,-0.042941,0.699376,-0.627967,0.000000
2,0.020000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,47,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,51,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,52,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,54,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,55,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,56,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.050000,59,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,60,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,61,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,62,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,63,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,64,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,65,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,66,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,67,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,68,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.060000,69,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.070000,70,0.526141,-0.212298,-0.504639,0.002493,-0.017908,-0.004041,-0.035487,-0.004941,0.000000
7,0.070000,71,0.549212,0.019141,-0.175613,0.066254,-0.066498,0.042359,-0.378660,-0.377273,0.000000
7,0.070000,72,0.116744,0.045878,0.182491,-0.004606,-0.037777,0.045360,0.207009,-0.025241,0.000000
7,0.070000,73,-0.318278,0.272677,0.219425,-0.019826,0.040173,-0.002511,-0.183081,-0.090354,0.000000
7,0.070000,74,-0.322598,0.065049,0.190540,-0.007525,0.039823,0.039349,-0.208998,-0.039495,0.000000
7,0.070000,75,-0.342918,-0.164180,0.223774,-0.000155,0.039063,-0.004231,-0.174562,-0.000695,0.000000
7,0.070000,76,0.097994,0.022067,-0.117649,-0.080667,0.011162,-0.042901,0.094878,0.685654,0.000000
7,0.070000,77,0.528891,-0.210088,-0.142380,0.073624,-0.067258,-0.001221,-0.472384,-0.517097,0.000000
7,0.070000,78,0.304573,-0.204661,-0.122181,-0.069777,0.021052,0.030250,0.172305,0.571092,0.000000
7,0.070000,79,0.089554,-0.190921,-0.134346,0.070704,0.010342,-0.007230,0.076978,-0.526283,0.000000
8,0.080000,80,-0.096906,0.062768,-0.204105,-0.074327,0.001332,0.011250,0.006527,0.364158,0.000000
