Format Version,1.0,
Take Name,251212_perturb_80_002,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,12 Dec 2025 16:45:51 +0900,
Total Frames In Take,340,
Total Exported Frames,3400,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.418340,
PosX_PosY_Y,0.160693,
PosX_PosY_Z,0.458482,
NegX_PosY_X,1.411820,
NegX_PosY_Y,0.168183,
NegX_PosY_Z,0.713453,
NegX_NegY_X,1.157210,
NegX_NegY_Y,0.170595,
NegX_NegY_Z,0.706478,
PosX_NegY_X,1.163730,
PosX_NegY_Y,0.163105,
PosX_NegY_Z,0.451508,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,-0.050315,0.301970,-0.504965,-0.007739,0.058533,0.050020,0.115914,0.015325,0.000000
0,0.000000,1,0.150604,0.067838,0.253799,0.001122,-0.031147,-0.027380,0.122725,0.004419,0.000000
0,0.000000,2,-0.306144,-0.139454,-0.080004,-0.063408,-0.002948,-0.073300,-0.036846,0.792562,0.000000
0,0.000000,3,-0.281894,-0.110995,0.200169,0.014381,0.046942,0.022349,-0.234513,0.071844,0.000000
0,0.000000,4,-0.288934,-0.115265,0.220757,-0.128569,0.046572,0.014659,-0.210966,-0.582400,0.000000
0,0.000000,5,-0.070634,0.072739,-0.471731,-0.000369,0.057773,0.006439,0.122469,0.000781,0.000000
0,0.000000,6,0.152144,0.067688,-0.491308,0.001812,0.067923,-0.025330,0.138248,-0.003687,0.000000
0,0.000000,7,0.135975,0.051579,-0.064545,-0.073599,0.018292,0.032860,0.283407,1.140278,0.000000
0,0.000000,8,0.150604,0.067838,0.253799,0.001122,-0.031147,-0.027380,0.122725,0.004419,0.000000
0,0.000000,9,0.144744,-0.139412,0.225533,-0.127799,0.066963,0.014179,-0.296909,-0.566655,0.000000
1,0.010000,10,-0.073714,0.073269,0.273994,-0.142279,0.057163,0.004090,-0.208627,-0.519276,0.000000
1,0.010000,11,-0.309254,-0.344494,0.253990,-0.121199,0.045812,-0.028921,-0.180370,-0.477179,0.000000
1,0.010000,12,-0.099565,-0.366180,-0.084551,-0.052519,0.006943,-0.000151,0.082113,0.621151,0.000000
1,0.010000,13,-0.090955,-0.156490,-0.438513,0.007001,0.057013,-0.037140,0.130013,-0.015966,0.000000
1,0.010000,14,0.363043,0.048588,-0.466970,0.000401,0.078162,0.005960,0.167381,-0.000859,0.000000
1,0.010000,15,0.361503,0.048738,0.278137,-0.000288,-0.020907,0.003910,0.075169,-0.001035,0.000000
1,0.010000,16,0.159045,0.283020,0.264481,-0.009838,-0.030297,0.079260,0.114554,-0.037198,0.000000
1,0.010000,17,0.134574,-0.159331,-0.095816,0.080311,0.017813,-0.066090,0.185906,-0.838186,0.000000
1,0.010000,18,-0.290667,0.080000,-0.089911,0.068582,-0.001727,0.041029,-0.019209,-0.762781,0.000000
1,0.010000,19,-0.313907,-0.148139,-0.048279,-0.206069,-0.002387,-0.004050,-0.049443,4.268312,0.000000
2,0.020000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
