Format Version,1.0,
Take Name,251212_perturb_11.5_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,19 Dec 2025 13:29:03 +0900,
Total Frames In Take,655,
Total Exported Frames,6550,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.465410,
PosX_PosY_Y,0.141372,
PosX_PosY_Z,0.425106,
NegX_PosY_X,1.464760,
NegX_PosY_Y,0.141466,
NegX_PosY_Z,0.680313,
NegX_NegY_X,1.210020,
NegX_NegY_Y,0.141850,
NegX_NegY_Z,0.679222,
PosX_NegY_X,1.210670,
PosX_NegY_Y,0.141755,
PosX_NegY_Z,0.424014,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,-0.341044,0.156861,0.098335,0.064677,-0.011102,0.043699,0.112902,0.657717,0.000000
0,0.000000,1,-0.575013,-0.055478,-0.255035,0.002326,0.027248,-0.033991,0.106840,-0.009122,0.000000
0,0.000000,2,-0.139966,-0.076708,0.119772,-0.066573,-0.100072,-0.032851,0.835520,-0.555832,0.000000
0,0.000000,3,0.084196,-0.082469,0.092422,0.076407,0.008438,-0.063421,-0.091294,0.826714,0.000000
0,0.000000,4,0.095544,0.135480,-0.271973,-0.003534,-0.039352,0.046889,-0.144691,0.012993,0.000000
0,0.000000,5,0.113114,0.362501,-0.667458,-0.082034,0.010759,0.087649,0.016119,0.122905,0.000000
0,0.000000,6,0.311096,-0.079970,0.054634,0.079927,0.019088,0.053309,-0.349384,1.462950,0.000000
0,0.000000,7,-0.141536,-0.281899,-0.291349,-0.123673,0.047759,0.013578,0.163922,0.424485,0.000000
0,0.000000,8,-0.114146,0.157171,0.066568,-0.072213,-0.000481,0.018119,0.007228,-1.084797,0.000000
0,0.000000,9,-0.339834,0.159451,0.461214,-0.005413,0.038008,0.046219,-0.082409,-0.011737,0.000000
1,0.010000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
