Format Version,1.0,
Take Name,251212_perturb_130_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,19 Dec 2025 13:55:44 +0900,
Total Frames In Take,329,
Total Exported Frames,3290,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.465410,
PosX_PosY_Y,0.141372,
PosX_PosY_Z,0.425106,
NegX_PosY_X,1.464760,
NegX_PosY_Y,0.141466,
NegX_PosY_Z,0.680313,
NegX_NegY_X,1.210020,
NegX_NegY_Y,0.141850,
NegX_NegY_Z,0.679222,
PosX_NegY_X,1.210670,
PosX_NegY_Y,0.141755,
PosX_NegY_Z,0.424014,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,-0.026304,-0.630556,-0.390596,0.068619,0.016563,-0.074702,0.042405,-0.175677,0.000000
0,0.000000,1,-0.442741,-0.376644,0.317133,-0.081432,-0.003677,-0.032993,0.011594,-0.256777,0.000000
0,0.000000,2,-0.425202,-0.355425,0.254393,0.064718,-0.101727,0.052747,0.399880,0.254403,0.000000
0,0.000000,3,-0.006314,-0.398585,0.684168,-0.009532,-0.032637,-0.030652,0.047703,-0.013932,0.000000
0,0.000000,4,0.025726,0.245375,-0.037012,0.100409,-0.030567,-0.068442,-0.825857,-2.712857,0.000000
0,0.000000,5,0.258648,0.054444,0.597517,0.119128,-0.119427,0.025037,0.199872,0.199372,0.000000
0,0.000000,6,0.450798,0.011534,0.321714,0.041658,-0.060246,-0.031933,0.187267,0.129489,0.000000
0,0.000000,7,0.014006,-0.169356,0.650934,-0.016902,-0.031877,0.012928,0.048971,-0.025966,0.000000
0,0.000000,8,-0.006344,-0.604155,0.272432,0.074588,0.016733,0.016078,-0.061421,0.273785,0.000000
0,0.000000,9,-0.201213,-0.357886,0.597704,-0.003192,-0.042467,0.023498,0.071050,-0.005340,0.000000
1,0.010000,10,-0.443982,-0.584804,-0.457483,0.072779,-0.003417,0.011218,-0.007469,-0.159085,0.000000
1,0.010000,11,-0.204452,0.043325,0.699396,-0.031382,-0.041677,0.002837,0.059590,-0.044870,0.000000
1,0.010000,12,0.017116,0.035684,0.316946,0.040889,-0.080637,-0.031453,0.254419,0.129009,0.000000
1,0.010000,13,0.047286,0.682766,0.704370,-0.061172,-0.030067,-0.069072,0.042686,-0.086847,0.000000
1,0.010000,14,0.252656,0.453445,0.336943,0.019809,-0.069286,0.001558,0.205632,0.058790,0.000000
1,0.010000,15,-0.009064,-0.400795,0.321909,-0.080662,0.016713,-0.033472,-0.051917,-0.250573,0.000000
1,0.010000,16,0.006936,-0.379196,0.259790,-0.075732,0.017123,0.051968,-0.065910,-0.291513,0.000000
1,0.010000,17,-0.250782,-0.625685,0.366922,0.065328,0.104163,-0.044083,-0.283883,0.178042,0.000000
1,0.010000,18,-0.447062,-0.584274,0.288248,-0.069132,-0.004027,0.008868,0.013970,-0.239835,0.000000
1,0.010000,19,0.019896,0.243695,0.346460,-0.112633,0.018173,-0.073612,-0.052453,-0.325096,0.000000
2,0.020000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
