Format Version,1.0,
Take Name,251212_perturb_20_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,12 Dec 2025 16:42:18 +0900,
Total Frames In Take,352,
Total Exported Frames,3520,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.418340,
PosX_PosY_Y,0.160693,
PosX_PosY_Z,0.458482,
NegX_PosY_X,1.411820,
NegX_PosY_Y,0.168183,
NegX_PosY_Z,0.713453,
NegX_NegY_X,1.157210,
NegX_NegY_Y,0.170595,
NegX_NegY_Z,0.706478,
PosX_NegY_X,1.163730,
PosX_NegY_Y,0.163105,
PosX_NegY_Z,0.451508,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,-0.056571,0.096677,0.101685,0.008069,-0.022922,-0.010931,0.225423,0.079349,0.000000
0,0.000000,1,0.373146,0.067726,-0.618679,0.007799,-0.002293,-0.016751,-0.003706,-0.012605,0.000000
0,0.000000,2,0.154328,0.077577,0.126030,0.006659,-0.012682,0.020359,0.100630,0.052837,0.000000
0,0.000000,3,0.154328,0.077577,0.126030,0.006659,-0.012682,0.020359,0.100630,0.052837,0.000000
0,0.000000,4,-0.064164,0.084687,-0.237251,0.076299,0.026887,0.056999,0.113329,-0.321597,0.000000
0,0.000000,5,-0.301213,-0.127124,0.155109,-0.127961,0.064628,-0.023041,-0.416658,-0.824974,0.000000
0,0.000000,6,-0.301213,-0.127124,0.155109,-0.127961,0.064628,-0.023041,-0.416658,-0.824974,0.000000
0,0.000000,7,0.157238,0.080347,-0.249039,-0.062321,-0.061323,0.024029,-0.246238,0.250247,0.000000
0,0.000000,8,0.154488,0.078137,-0.611298,-0.133451,-0.011973,0.021209,-0.019586,0.218308,0.000000
0,0.000000,9,0.161558,0.287977,-0.220146,-0.074621,-0.060973,-0.017831,-0.276965,0.338960,0.000000
1,0.010000,10,0.158648,0.285207,0.154922,-0.005641,-0.012332,-0.021501,0.079604,-0.036415,0.000000
1,0.010000,11,0.155508,-0.125404,0.077168,0.020689,0.085798,0.069609,-1.111838,0.268105,0.000000
1,0.010000,12,-0.279383,-0.103843,-0.290489,0.090009,0.016297,0.067569,0.056103,-0.309854,0.000000
1,0.010000,13,-0.283673,-0.105903,0.092361,0.018189,-0.033423,0.062699,0.361871,0.196932,0.000000
1,0.010000,14,-0.279353,0.101727,0.121254,0.005888,-0.033073,0.020839,0.272758,0.048563,0.000000
1,0.010000,15,-0.052451,0.102037,0.089497,-0.131001,-0.022452,-0.004741,0.250874,-1.463748,0.000000
1,0.010000,16,0.385686,0.076646,-0.659241,0.152480,0.096908,-0.001671,0.147000,-0.231296,0.000000
1,0.010000,17,0.154328,0.077577,0.126030,0.006659,-0.012682,0.020359,0.100630,0.052837,0.000000
1,0.010000,18,0.375896,0.069936,-0.256420,0.078929,-0.051642,-0.013931,-0.201398,-0.307813,0.000000
1,0.010000,19,0.158618,0.079637,-0.256821,0.078479,0.037038,0.025229,0.144217,-0.305580,0.000000
2,0.020000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,27,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,29,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,34,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,35,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,36,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,37,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.030000,39,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,40,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,41,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,42,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.040000,43,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
