Format Version,1.0,
Take Name,251212_perturb_200_002,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,12 Dec 2025 16:49:27 +0900,
Total Frames In Take,276,
Total Exported Frames,2760,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.418340,
PosX_PosY_Y,0.160693,
PosX_PosY_Z,0.458482,
NegX_PosY_X,1.411820,
NegX_PosY_Y,0.168183,
NegX_PosY_Z,0.713453,
NegX_NegY_X,1.157210,
NegX_NegY_Y,0.170595,
NegX_NegY_Z,0.706478,
PosX_NegY_X,1.163730,
PosX_NegY_Y,0.163105,
PosX_NegY_Z,0.451508,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,0.328130,0.351864,-0.617601,-0.011611,-0.072264,0.052265,-0.117007,0.018800,0.000000
0,0.000000,1,0.095211,0.141554,0.129242,-0.003941,0.014486,-0.023755,-0.112083,-0.030494,0.000000
0,0.000000,2,-0.124329,-0.254606,0.047119,0.022069,0.003546,0.028675,-0.075261,0.468376,0.000000
0,0.000000,3,-0.118959,-0.044946,1.176224,0.079789,0.052296,-0.011515,-0.044461,0.067835,0.000000
0,0.000000,4,-0.142029,-0.276386,0.847191,0.016029,0.100886,-0.057915,-0.119083,0.018921,0.000000
0,0.000000,5,-0.122759,-0.049186,-0.286255,-0.061362,0.053246,-0.016005,0.186010,0.214361,0.000000
0,0.000000,6,0.090891,-0.066076,0.100342,0.008359,0.014136,0.018105,-0.140877,0.083310,0.000000
0,0.000000,7,0.111211,0.163154,0.067123,0.000989,0.014896,0.061685,-0.221918,0.014741,0.000000
0,0.000000,8,0.329510,0.351154,-0.625381,0.129189,0.026096,0.053465,0.041729,-0.206576,0.000000
0,0.000000,9,0.115531,0.370784,0.096008,-0.011311,0.015246,0.019825,-0.158798,-0.117813,0.000000
1,0.010000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,17,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.020000,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
