Format Version,1.0,
Take Name,251212_perturb_15_001,
Capture Frame Rate,1000.00,
Export Frame Rate,100.00,
Capture Start Time,19 Dec 2025 13:32:04 +0900,
Total Frames In Take,898,
Total Exported Frames,8980,
Coordinate Space,Local,
Device Name,Bertec 0 3110014081209352,
Device Type,2,
Device Channel Count,6,
Mocap Rate,100.00,
Mocap Rate Multiple,10.00,

PlateLength,10.000000,
PlateWidth,10.000000,
PlateOrder,3,
PosX_PosY_X,1.465410,
PosX_PosY_Y,0.141372,
PosX_PosY_Z,0.425106,
NegX_PosY_X,1.464760,
NegX_PosY_Y,0.141466,
NegX_PosY_Z,0.680313,
NegX_NegY_X,1.210020,
NegX_NegY_Y,0.141850,
NegX_NegY_Z,0.679222,
PosX_NegY_X,1.210670,
PosX_NegY_Y,0.141755,
PosX_NegY_Z,0.424014,
Offset_X,0.000000,
Offset_Y,0.000000,
Offset_Z,0.000000


MocapFrame, MocapTime, DeviceFrame, Fx, Fy, Fz, Mx, My, Mz, Cx, Cy, Cz
0,0.000000,0,-0.289560,-0.044829,-0.059725,-0.008778,0.046330,-0.037984,0.775732,0.146968,0.000000
0,0.000000,1,-0.272350,-0.020640,0.241030,-0.073937,0.095850,0.049976,-0.397671,-0.306756,0.000000
0,0.000000,2,-0.293880,-0.252459,-0.088617,0.003523,0.045980,0.003876,0.518865,-0.039754,0.000000
0,0.000000,3,-0.289560,-0.044829,-0.059725,-0.008778,0.046330,-0.037984,0.775732,0.146968,0.000000
0,0.000000,4,0.148568,-0.066589,-0.430658,0.064233,-0.080379,-0.034494,-0.186643,-0.149151,0.000000
0,0.000000,5,0.379791,0.143539,-0.439554,0.055453,-0.069379,0.040376,-0.157840,-0.126157,0.000000
0,0.000000,6,0.377041,0.141329,-0.801813,-0.015677,-0.020030,0.037556,-0.024980,0.019552,0.000000
0,0.000000,7,0.352241,-0.296090,-0.060141,0.144103,-0.021849,0.034986,-0.363301,-2.396094,0.000000
0,0.000000,8,-0.081411,-0.066139,-0.397654,-0.081317,0.105921,-0.009514,0.266364,0.204492,0.000000
0,0.000000,9,-0.066782,-0.049879,-0.079302,-0.006598,0.056480,-0.069754,0.712221,0.083195,0.000000
1,0.010000,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,0.010000,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
